IR,Char
A1g,"[{'1': '1'}, {'4': '1'}, {'2100': '1'}, {'3': '1'}, {'2110': '1'}, {'-1': '1'}, {'-4': '1'}, {'m100': '1'}, {'-3': '1'}, {'m110': '1'}]"
A1u,"[{'1': '1'}, {'4': '1'}, {'2100': '1'}, {'3': '1'}, {'2110': '1'}, {'-1': '-1'}, {'-4': '-1'}, {'m100': '-1'}, {'-3': '-1'}, {'m110': '-1'}]"
A2g,"[{'1': '1'}, {'4': '-1'}, {'2100': '1'}, {'3': '1'}, {'2110': '-1'}, {'-1': '1'}, {'-4': '-1'}, {'m100': '1'}, {'-3': '1'}, {'m110': '-1'}]"
A2u,"[{'1': '1'}, {'4': '-1'}, {'2100': '1'}, {'3': '1'}, {'2110': '-1'}, {'-1': '-1'}, {'-4': '1'}, {'m100': '-1'}, {'-3': '-1'}, {'m110': '1'}]"
Eg,"[{'1': '2'}, {'4': '0'}, {'2100': '2'}, {'3': '-1'}, {'2110': '0'}, {'-1': '2'}, {'-4': '0'}, {'m100': '2'}, {'-3': '-1'}, {'m110': '0'}]"
Eu,"[{'1': '2'}, {'4': '0'}, {'2100': '2'}, {'3': '-1'}, {'2110': '0'}, {'-1': '-2'}, {'-4': '0'}, {'m100': '-2'}, {'-3': '1'}, {'m110': '0'}]"
T2u,"[{'1': '3'}, {'4': '-1'}, {'2100': '-1'}, {'3': '0'}, {'2110': '1'}, {'-1': '-3'}, {'-4': '1'}, {'m100': '1'}, {'-3': '0'}, {'m110': '-1'}]"
T2g,"[{'1': '3'}, {'4': '-1'}, {'2100': '-1'}, {'3': '0'}, {'2110': '1'}, {'-1': '3'}, {'-4': '-1'}, {'m100': '-1'}, {'-3': '0'}, {'m110': '1'}]"
T1u,"[{'1': '3'}, {'4': '1'}, {'2100': '-1'}, {'3': '0'}, {'2110': '-1'}, {'-1': '-3'}, {'-4': '-1'}, {'m100': '1'}, {'-3': '0'}, {'m110': '1'}]"
T1g,"[{'1': '3'}, {'4': '1'}, {'2100': '-1'}, {'3': '0'}, {'2110': '-1'}, {'-1': '3'}, {'-4': '1'}, {'m100': '-1'}, {'-3': '0'}, {'m110': '-1'}]"
