Mult,Letter,Symm,Pos
1,,,
12,b,1,"[Matrix([
[x],
[y],
[z]]), Matrix([
[-x + 1/2],
[      -y],
[ z + 1/2]]), Matrix([
[      -x],
[ y + 1/2],
[-z + 1/2]]), Matrix([
[ x + 1/2],
[-y + 1/2],
[      -z]]), Matrix([
[z],
[x],
[y]]), Matrix([
[ z + 1/2],
[-x + 1/2],
[      -y]]), Matrix([
[-z + 1/2],
[      -x],
[ y + 1/2]]), Matrix([
[      -z],
[ x + 1/2],
[-y + 1/2]]), Matrix([
[y],
[z],
[x]]), Matrix([
[      -y],
[ z + 1/2],
[-x + 1/2]]), Matrix([
[ y + 1/2],
[-z + 1/2],
[      -x]]), Matrix([
[-y + 1/2],
[      -z],
[ x + 1/2]])]"
4,a,.3.,"[Matrix([
[x],
[x],
[x]]), Matrix([
[-x + 1/2],
[      -x],
[ x + 1/2]]), Matrix([
[      -x],
[ x + 1/2],
[-x + 1/2]]), Matrix([
[ x + 1/2],
[-x + 1/2],
[      -x]])]"
